user_id,post_id,eventStrength
1,995,4
1,996,4
1,355,4
1,996,3
1,996,3
2,998,4
2,998,4
2,998,3
2,993,3
2,993,4
2,992,5
2,992,4
2,992,5
2,992,3
2,992,4
2,992,4
2,992,3
2,985,4
2,986,4
2,986,3
2,998,5
2,998,5
2,985,4
2,998,5
2,985,4
2,985,3
2,983,4
2,983,3
2,993,3
2,998,3
2,993,5
2,998,5
3,371,5
3,1007,4
3,375,5
3,1007,3
3,371,5
3,371,5
3,371,5
3,1007,5
3,371,5
3,371,5
3,1007,5
3,998,4
3,1007,4
3,360,4
4,999,3
4,278,5
4,999,3
4,999,5
6,439,5
6,439,5
6,439,5
7,360,5
7,360,5
7,355,3
7,353,4
22,1002,4
22,1002,5
2191,143,5
